5909.4,5.5,5.5,15.5,13.6,10.9
6409,3.4,9.3,10.5,12.3,7.5
6412.4,93.7,134.6,280.7,234.1,105.2
6487.6,95.3,80.3,279.0,164.2,76.2
6648.5,87.8,59.9,263.0,166.5,89.0
7029.7,2.2,17.9,6,47.8,28.2
7140.6,19.0,22.2,64.2,66.1,19.2
7250.1,26.1,33.5,45.5,77.1,41.5
7382,36.4,18.3,120.6,58.6,46.9
7736.8,21.1,23.1,69.7,67.2,84.4
7906.6,88.4,63.4,409.5,201.2,81.0
7906.6,36.8,22.3,140.7,67.8,25.5
7907.6,49.3,58.6,146.9,174.6,60.7
8118,112.1,142.0,385.0,259.1,116.6
8184.6,62.0,85.0,181.6,139.2,75.7
8496.3,55.0,68.6,312.8,144.5,42.2
8496.3,5.7,5.6,25.6,11.2,3
8497.5,88.2,111.7,469.3,262.7,63.9
8497.5,4.00E+01,3.74E+01,152.2,8.54E+01,2.23E+01
8695.2,4.6,13.6,17.6,24.2,10.3
8695.2,6.8,15.6,22.7,25.5,12
8695.7,66.1,144.1,173.6,232.9,127.5
8695.7,28.8,49.4,61.6,77.8,45.3
8820.4,113.4,196.8,399.9,259.9,212.9
8821.7,110.9,206.2,343.5,266.0,217.1
8936.1,3.1,15.9,5.1,14.9,8.6
9126,13.3,32.8,55.5,50.8,27.6
9450.2,8.4,17.1,16.4,30.5,18.6
9450.2,8.3,5.4,4.4,8.1,3.0
9378.9,1.36E+01,19.6,69.6,47.3,19.4
9695.6,103.4,178.5,519.8,369.4,144.2
9695.6,33.8,59.1,159.8,114.3,46.9
9896.3,1.83E+01,4.60E+01,65.4,63.6,56
9897.2,2.3,3.8,8.1,5.9,4.2
10088.2,6.2,1.7,1.4,1.5,2
10089.4,27.9,40.5,74.3,48.4,38.6
10089.4,39.4,16.2,31.1,19.5,12.7
10517.1,3.4,21.3,3.4,39.2,36.3
10519.4,9.2,18.1,10.5,29.7,28.7
10740.2,35.3,65.6,100.5,133.0,91.2
10741.1,41.4,71.6,165.8,160.5,83.4
10741.1,41.9,26.8,58.1,60.7,34.6
11031.5,5.2,3.6,13.4,10.0,8.8
6097,20.4,26.3,55.8,42.6,22.0
