SST (°C),Age (wmean),age,1,2,3,4,6
0.993536664,5402.7,5402.7,0.063190184,0.170552147,0.16809816,0.398773006,0.199386503
1.091231191,5483.8,5483.8,0.148669576,0.064761368,0.521329016,0.180909475,0.084330565
1.120502165,5551.4,5551.4,0.128398792,0.090634441,0.444108761,0.261329305,0.075528701
1.120502165,5551.4,5551.4,0.123036649,0.081151832,0.463350785,0.253926702,0.078534031
2.962201274,5551.9,5551.9,0.170481084,0.070527791,0.473143391,0.183559085,0.10228865
2.955837635,5611.2,5611.2,0.131940907,0.106724401,0.355323484,0.285022924,0.120988283
3.358615781,5611.7,5611.7,0.133239832,0.104347826,0.3542777,0.27769986,0.130434783
1.149018585,5711.5,5711.5,0.085110508,0.147537805,0.217138426,0.263861962,0.286351299
1.076794587,5712.6,5712.6,0.058673469,0.256377551,0.121173469,0.418367347,0.145408163
1.27016284,5909.4,5909.4,0.107843137,0.107843137,0.303921569,0.266666667,0.21372549
0.83825743,5910.7,5910.7,0.159749413,0.104541895,0.385277995,0.221613156,0.128817541
0.916216477,5999.9,5999.9,0.15432006,0.053493614,0.536889557,0.190082645,0.065214125
0.916216477,5999.9,5999.9,0.150703648,0.062986747,0.526164777,0.190736439,0.069408389
0.507769524,6097,6097,0.11055832,0.151188502,0.329740188,0.255113322,0.153399668
0.507769524,6097,6097,0.122082585,0.157390784,0.333931777,0.254937163,0.13165769
1.943551022,6098.4,6098.4,0.048165138,0.45412844,0.14793578,0.120412844,0.229357798
1.199930951,6199.4,6199.4,0.107905138,0.121212121,0.324242424,0.317786561,0.128853755
1.199930951,6199.4,6199.4,0.112737509,0.124700915,0.315411682,0.311470795,0.135679099
2.023219056,6200.5,6200.5,0.119135802,0.120061728,0.296604938,0.294753086,0.169444444
-0.09552277,6288.7,6288.7,0.114020951,0.088638195,0.419419823,0.25463336,0.123287671
-0.09552277,6288.7,6288.7,0.113475177,0.102211097,0.404255319,0.24614101,0.133917397
0.301958651,6289.7,6289.7,0.128023599,0.083775811,0.481268437,0.213126844,0.09380531
0.301958651,6289.7,6289.7,0.128258915,0.082858855,0.463889721,0.212616122,0.112376386
2.371263813,6487.6,6487.6,0.137122302,0.115539568,0.401438849,0.236258993,0.109640288
1.186757808,6571.4,6571.4,0.152933929,0.036500847,0.663483752,0.109040505,0.038040967
1.694055898,6572.5,6572.5,0.124757595,0.086942469,0.373626374,0.262766645,0.151906917
1.010753772,6648.5,6648.5,0.131792255,0.089912939,0.394776343,0.249924947,0.133593515
1.06757267,6649.5,6649.5,0.163215591,0.103532278,0.332521315,0.258221681,0.142509135
1.399482515,6739.5,6739.5,0.134777715,0.084974676,0.460185706,0.237197524,0.082864378
1.399482515,6739.5,6739.5,0.134197131,0.087768009,0.445472775,0.236773099,0.095788987
0.470684252,6941.7,6941.7,0.105797101,0.1,0.320772947,0.374396135,0.099033816
0.642243665,7028.5,7028.5,0.123559696,0.097695514,0.43846531,0.229345428,0.110934052
1.638180786,7029.7,7029.7,0.021547502,0.175318315,0.058765916,0.468168462,0.276199804
1.653700046,7139.4,7139.4,0.082742317,0.132650381,0.234042553,0.399001839,0.15156291
2.067609216,7140.6,7140.6,0.099632931,0.116413214,0.336654431,0.346617724,0.100681699
1.584804885,7248.6,7248.6,0.112952621,0.114754098,0.285894433,0.274364979,0.212033868
1.564717767,7250.1,7250.1,0.116674117,0.149754135,0.203397407,0.344658024,0.185516316
0.60742398,7382,7382,0.12962963,0.06517094,0.429487179,0.208689459,0.167022792
1.240921065,7383.5,7383.5,0.132775316,0.089282784,0.475381585,0.217544723,0.085015592
1.240921065,7383.5,7383.5,0.177856825,0.105824811,0.311249444,0.238772788,0.166296132
2.649051117,7736.8,7736.8,0.079472693,0.08700565,0.26252354,0.253107345,0.317890772
1.434465876,7737.5,7737.5,0.105032084,0.146909828,0.308004053,0.287740628,0.152313408
2.570063636,7837.3,7837.3,0.090617196,0.117017481,0.310738494,0.253121655,0.228505173
2.570063636,7837.3,7837.3,0.106574506,0.094679312,0.336280341,0.239029095,0.223436747
2.197741295,7837.7,7837.7,0.09049158,0.129103589,0.26313999,0.284061915,0.233202926
1.785396808,7906.6,7906.6,0.104801423,0.075163011,0.485477178,0.238529935,0.096028453
1.785396808,7906.6,7906.6,0.125554418,0.076083248,0.480040942,0.231320368,0.087001024
1.200611188,7907.6,7907.6,0.100591716,0.119567435,0.299734748,0.356253826,0.123852275
1.122730501,8050.3,8050.3,0.106178977,0.134943182,0.280539773,0.327769886,0.150568182
1.122730501,8050.3,8050.3,0.113036304,0.140264026,0.2830033,0.321782178,0.141914191
1.102979595,8116.8,8116.8,0.071653268,0.196434813,0.186997553,0.361062566,0.1838518
0.484969696,8118,8118,0.110465116,0.13992905,0.379385101,0.255321246,0.114899488
0.98597964,8184.2,8184.2,0.096751412,0.14759887,0.264477401,0.354519774,0.136652542
1.036043881,8184.6,8184.6,0.114075437,0.156393744,0.334130635,0.256117755,0.139282429
0.745380163,8246.5,8246.5,0.053695324,0.154751131,0.323076923,0.333031674,0.135444947
1.154688615,8246.9,8246.9,0.097881828,0.116833891,0.47826087,0.220958751,0.08606466
1.247681876,8324.3,8324.3,0.102796674,0.158730159,0.227513228,0.363567649,0.14739229
1.34478398,8324.7,8324.7,0.069078947,0.440789474,0.085526316,0.144736842,0.259868421
2.331229974,8496.3,8496.3,0.088268336,0.110094688,0.502006099,0.231904991,0.067725887
2.331229974,8496.3,8496.3,0.111545988,0.109589041,0.500978474,0.219178082,0.058708415
1.465840111,8497.5,8497.5,0.088572002,0.112171119,0.471279373,0.263807994,0.064169512
1.465840111,8497.5,8497.5,0.118588793,0.110880522,0.451230359,0.253187074,0.066113252
1.202862919,8695.2,8695.2,0.065433855,0.193456615,0.250355619,0.344238976,0.146514936
1.202862919,8695.2,8695.2,0.082324455,0.188861985,0.274818402,0.308716707,0.14527845
