d13C,age,11,13,14,15,16,18,,,
-29.37518784,192.5,0.132048966,0.235400361,0.072245635,0.111780052,0.0692354,0.379289585,,,
-30.41980825,601.7,0.114792899,0.151873767,0.14122288,0.151084813,0.052465483,0.388560158,,,
-29.07689875,603.1,0.091649695,0.143923965,0.10454854,0.101154107,0.042769857,0.515953836,,,
-29.98008851,893.7,0.114625977,0.11183476,0.207480461,0.152214365,0.073502047,0.340342389,,,
-30.4760357,1244.8,0.064031438,0.050855294,0.089921405,0.043920481,0.105871475,0.645399908,,,
-29.60829281,1357.5,0.097877358,0.149764151,0.190363881,0.147237197,0.048180593,0.366576819,,,
-28.40292962,1922.7,0.154854911,0.067522321,0.258649554,0.156529018,0.032924107,0.329520089,,,
-29.82234083,2059.4,0.111111111,0.135908441,0.133524082,0.148783977,0.041010968,0.429661421,,,
-28.54499667,2061.1,0.079453067,0.10581424,0.088814979,0.092264104,0.047302291,0.586351318,,,
-29.09826413,2237.3,0.044271087,0.119258898,0.059483179,0.07810824,0.045343735,0.653534861,,,
-30.01572712,2870.9,0.16415718,0.06940874,0.280572898,0.200146897,0.034887991,0.250826295,,,
-29.12584817,2872.7,0.099386503,0.061840491,0.187239264,0.154601227,0.03803681,0.458895706,,,
-29.32144324,2994.3,0.133333333,0.116224189,0.182890855,0.149262537,0.079646018,0.338643068,,,
-29.30403186,2996,0.07007922,0.134673979,0.193784278,0.139244363,0.087446679,0.374771481,,,
-28.96434675,3206.3,0.030703459,0.023707734,0.034978624,0.067236689,0.008161679,0.835211815,,,
-29.53732356,3531.1,0.11113441,0.042985951,0.176347243,0.169217865,0.020549381,0.47976515,,,
-29.44460282,3727.2,0.110493398,0.111188325,0.128561501,0.216817234,0.031271716,0.401667825,,,
-30.28621362,3729,0.113189601,0.07736208,0.146797717,0.218769816,0.03170577,0.412175016,,,
-30.8365662,3864.7,0.137302134,0.087061253,0.224707502,0.151410874,0.031658637,0.367859601,,,
-30.01551959,4022.7,0.230769231,0.079881657,0.215976331,0.091715976,0.041420118,0.340236686,,,
-28.20627146,4520.5,0.041023277,0.039179534,0.059460705,0.029269417,0.066605209,0.764461858,,,
-29.20036575,4612.4,0.110160631,0.054082312,0.158825207,0.119095143,0.01948484,0.538351868,,,
-28.53779455,5007.4,0.126940324,0.048982408,0.187305968,0.107968265,0.029320455,0.49948258,,,
-28.42386204,5008.5,0.1400818,0.035787321,0.307770961,0.235173824,0.021472393,0.259713701,,,
-27.9045805,5402.7,0.060789776,0.028674422,0.118466328,0.146485335,0.014419138,0.631165001,,,
-29.01874957,5551.9,0.117892708,0.119820109,0.16350787,0.114680373,0.045293929,0.438805011,,,
-29.42591096,5910.7,0.097668441,0.090875711,0.140627869,0.111804663,0.037084634,0.521938682,,,
-29.31935871,6571.4,0.108482523,0.129582268,0.148124467,0.140025575,0.061167945,0.412617221,,,
-28.97879282,6649.5,0.105902778,0.097222222,0.144675926,0.112268519,0.063657407,0.476273148,,,
-29.13493198,7140.6,0.113784666,0.143556281,0.147634584,0.147226754,0.060358891,0.387438825,,,
-28.59430764,7250.1,0.03777905,0.02956088,0.055401096,0.053970071,0.009281217,0.814007687,,,
-28.91203749,7737.5,0.110259301,0.103043968,0.165952649,0.120180383,0.059301015,0.441262683,,,
-29.96136694,7837.3,0.164711573,0.130608296,0.194944975,0.120328939,0.058048132,0.331358084,,,
-31.83742969,7906.6,0.194968553,0.101387985,0.237584038,0.140641943,0.050965083,0.274452396,,,
-29.66172573,7907.6,0.145072698,0.111362412,0.195368875,0.133441034,0.06914378,0.345611201,,,
-29.94412683,8050.3,0.10472103,0.106008584,0.132188841,0.146781116,0.038769671,0.471530758,,,
-29.86386315,8116.8,0.125835721,0.090496657,0.205348615,0.154489016,0.04321872,0.38061127,,,
-31.07184134,8184.2,0.097511769,0.093140551,0.234028245,0.217888366,0.04404842,0.31338265,,,
-31.07247799,8184.6,0.058140348,0.110753516,0.078150143,0.114181767,0.03386273,0.604911495,,,
-30.69914577,8246.5,0.112845138,0.102440976,0.218887555,0.194477791,0.092036815,0.279311725,,,
-30.60368348,8246.9,0.147294849,0.155578566,0.127879886,0.1208905,0.058503754,0.389852446,,,
-30.18704357,8496.3,0.149367089,0.106329114,0.050632911,0.091139241,0.073417722,0.529113924,,,
-32.36247809,8497.5,0.136502791,0.144786602,0.135962543,0.117954259,0.04249955,0.422294255,,,
-30.67214079,8597.8,0.212518195,0.101892285,0.158660844,0.08588064,0.161572052,0.279475983,,,
-31.4506099,8695.7,0.099036725,0.099864539,0.099864539,0.106487056,0.025586996,0.569160144,,,
-30.89555778,8820.4,0.176445542,0.14050924,0.175764285,0.095972068,0.056033382,0.355275483,,,
-29.99690232,8821.7,0.163647896,0.11663965,0.14905913,0.097892734,0.045598703,0.427161886,,,
-30.04739631,8937.3,0.018414322,0.049744246,0.020588235,0.055754476,0.013171355,0.842327366,,,
-30.3686893,9127.5,0.080052288,0.086117647,0.081620915,0.094640523,0.014797386,0.642771242,,,
-30.09134736,9229.4,0.044918569,0.072191549,0.035596371,0.08057043,0.011430791,0.75529229,,,
-30.07011693,9697.3,0.054942399,0.145895432,0.065979215,0.125352453,0.036091195,0.571739306,,,
-30.51864745,9896.3,0.101569126,0.109626802,0.156912638,0.082061069,0.022264631,0.527565734,,,
-30.76494222,10089.4,0.035294494,0.028280434,0.050635749,0.039105787,0.00797489,0.838708644,,,
-30.99004828,10740.2,0.194227138,0.09387645,0.208254653,0.127866199,0.02994335,0.345832209,,,
-31.91361746,10741.1,0.183882513,0.125755893,0.186227323,0.097247933,0.057386153,0.349500185,,,
-28.76085341,10877.6,0.148758465,0.075620767,0.222121896,0.145146727,0.021896163,0.386455982,,,
-32.95301413,10880.1,0.14957265,0.168803419,0.070512821,0.102564103,0.074786325,0.433760684,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
